Thumb;Name;Purchase After Return;SKU;URL;Brand;Country;Revenue;Lost profit;Sales;Price with WB wallet;Comments Valuation;Comments;Days in website;First Date
https://basket-21.wbbasket.ru/vol3672/part367230/367230347/images/c246x328/1.webp;Проектор для фильмов;73;367230347;https://www.wildberries.ru/catalog/367230347/detail.aspx;;Китай;22586011;3166263,22;3457;6502;4,8;2220;284;22.03.2025
https://basket-27.wbbasket.ru/vol5188/part518818/518818009/images/c246x328/1.webp;Проектор для фильмов на стену домашний;73;518818009;https://www.wildberries.ru/catalog/518818009/detail.aspx;Osenjie;Китай;21170989;57097515,79;3995;71500;4,9;366;78;14.10.2025
https://basket-28.wbbasket.ru/vol5230/part523086/523086998/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;523086998;https://www.wildberries.ru/catalog/523086998/detail.aspx;;Китай;17724658;2484765,14;2676;5941;4,9;481;111;11.09.2025
https://basket-17.wbbasket.ru/vol2746/part274671/274671561/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;274671561;https://www.wildberries.ru/catalog/274671561/detail.aspx;YALY;Китай;15507979;258466,32;3594;4740;4,7;6341;421;05.11.2024
https://basket-12.wbbasket.ru/vol1819/part181967/181967824/images/c246x328/1.webp;Проектор для фильмов;73;181967824;https://www.wildberries.ru/catalog/181967824/detail.aspx;iSmart;Китай;12346450;3508991,05;2329;5586;4,8;8343;808;15.10.2023
https://basket-22.wbbasket.ru/vol3894/part389430/389430256/images/c246x328/1.webp;Проектор для фильмов домашний на стену 4K UltraHD;73;389430256;https://www.wildberries.ru/catalog/389430256/detail.aspx;TSVET STORE;;11546051;8293642,27;1663;7170;4,8;1196;260;15.04.2025
https://basket-25.wbbasket.ru/vol4407/part440729/440729368/images/c246x328/1.webp;Проектор для фильмов;73;440729368;https://www.wildberries.ru/catalog/440729368/detail.aspx;;Китай;10082151;1632348,26;1564;6129;4,8;8343;202;12.06.2025
https://basket-30.wbbasket.ru/vol6052/part605279/605279357/images/c246x328/1.webp;Проектор для фильмов домашний на стену 4K UltraHD;73;605279357;https://www.wildberries.ru/catalog/605279357/detail.aspx;BUTTOWSKI SHOP;;9699438;14450183,14;1433;6097;4,8;338;53;08.11.2025
https://basket-27.wbbasket.ru/vol4906/part490613/490613001/images/c246x328/1.webp;Проектор для фильмов;73;490613001;https://www.wildberries.ru/catalog/490613001/detail.aspx;iProjector;Китай;7534335;1941838,92;1181;5846;4,8;1770;141;12.08.2025
https://basket-30.wbbasket.ru/vol6091/part609102/609102085/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;609102085;https://www.wildberries.ru/catalog/609102085/detail.aspx;;;7481228;13262176,91;1118;6466;4,9;317;43;18.11.2025
https://basket-17.wbbasket.ru/vol2744/part274432/274432478/images/c246x328/1.webp;Проектор для фильмов;73;274432478;https://www.wildberries.ru/catalog/274432478/detail.aspx;iSmart;Китай;7288306;1021725,14;1177;6472;4,8;8343;427;30.10.2024
https://basket-19.wbbasket.ru/vol3184/part318411/318411181/images/c246x328/1.webp;Домашний проектор для фильмов с телефона на стену 4K;73;318411181;https://www.wildberries.ru/catalog/318411181/detail.aspx;;Китай;6460736;2200910,07;1137;6016;4,8;355;336;29.01.2025
https://basket-16.wbbasket.ru/vol2513/part251351/251351416/images/c246x328/1.webp;Проектор для фильмов;73;251351416;https://www.wildberries.ru/catalog/251351416/detail.aspx;iSmart;Китай;6443741;1919412,21;900;8020;4,8;6040;496;22.08.2024
https://basket-33.wbbasket.ru/vol6983/part698374/698374455/images/c246x328/1.webp;Проектор для фильмов домашний на стену 4K UltraHD;73;698374455;https://www.wildberries.ru/catalog/698374455/detail.aspx;fbktoys;Китай;6131429;35426034,22;1258;4682;4,4;113;20;11.12.2025
